,features/alcohol,features/chlorides,features/citric acid,features/density,features/fixed acidity,features/free sulfur dioxide,features/pH,features/residual sugar,features/sulphates,features/total sulfur dioxide,features/volatile acidity,quality,type
29,11.6,0.071,0.08,0.99646,6.2,11.0,3.56,4.4,0.6299999952316284,32.0,0.52,6,red
30,9.9,0.07,0.24,0.9966,9.3,5.0,3.12,2.1,0.5899999737739563,20.0,0.715,5,red
31,10.2,0.082,0.05,0.99808,7.1,3.0,3.4,5.7,0.5199999809265137,14.0,0.875,3,red
32,10.3,0.063,0.06,0.99489,6.5,29.0,3.38,2.0,0.8299999833106995,44.0,0.53,6,red
33,11.4,0.056,0.01,0.99472,6.1,5.0,3.52,2.1,0.5600000023841858,13.0,0.59,5,red
34,9.4,0.086,0.28,0.9979,9.6,30.0,3.24,2.4,0.5299999713897705,147.0,0.88,5,red
35,10.7,0.08,0.01,0.9955,7.1,27.0,3.42,2.3,0.5799999833106995,43.0,0.59,6,red
36,10.7,0.082,0.39,0.9985,8.0,12.0,3.43,2.6,0.6200000047683716,46.0,0.5,6,red
37,10.5,0.081,0.6,0.9996,12.5,31.0,3.1,2.6,0.7300000190734863,72.0,0.38,5,red
38,9.3,0.097,0.26,0.9976,8.7,7.0,3.27,2.5,0.6000000238418579,31.0,0.54,6,red
39,9.2,0.092,0.21,0.99823,8.8,33.0,3.19,2.5,0.5199999809265137,88.0,0.42,5,red
40,11.8,0.072,0.12,0.99504,8.4,38.0,3.38,1.8,0.8899999856948853,46.0,0.62,6,red
41,9.6,0.064,0.08,0.99553,6.8,18.0,3.3,2.2,0.6499999761581421,38.0,0.47,6,red
42,10.5,0.065,0.3,0.99774,9.1,8.0,3.32,1.9,0.7099999785423279,17.0,0.5,6,red
43,11.5,0.081,0.09,0.99479,7.0,10.0,3.43,2.0,0.5899999737739563,16.0,0.54,6,red
44,11.4,0.058,0.42,0.99392,9.1,9.0,3.18,1.8,0.550000011920929,18.0,0.34,5,red
45,12.0,0.066,0.49,1.0014,12.9,5.0,3.2,5.8,0.6600000262260437,35.0,0.35,7,red
46,10.1,0.107,0.05,0.9972,7.3,6.0,3.4,3.6,0.6299999952316284,20.0,0.67,5,red
47,10.9,0.066,0.11,0.99483,5.8,18.0,3.55,1.8,0.6600000262260437,28.0,0.61,6,red
48,10.0,0.078,0.24,0.99692,9.0,10.0,3.29,1.7,0.6700000166893005,21.0,0.785,5,red
49,9.5,0.091,0.63,1.0004,12.3,6.0,3.16,2.3,0.49000000953674316,18.0,0.39,5,red
50,9.6,0.09,0.11,0.9965,8.4,16.0,3.19,1.9,0.8199999928474426,63.0,0.745,5,red
51,9.5,0.067,0.14,0.9969,8.8,10.0,3.19,2.4,0.5899999737739563,42.0,0.61,5,red
52,9.8,0.058,0.38,0.9962,8.2,10.0,3.26,1.5,0.7400000095367432,29.0,0.39,5,red
53,10.6,0.077,0.24,0.9948,6.7,18.0,3.39,1.7,0.6000000238418579,34.0,0.46,6,red
54,9.5,0.084,0.04,0.9978,7.7,25.0,3.34,3.8,0.5299999713897705,45.0,0.62,5,red
55,11.0,0.084,0.27,0.9964,7.2,12.0,3.39,2.6,0.7099999785423279,78.0,0.54,5,red
56,9.4,0.066,0.08,0.9954,6.3,3.0,3.34,1.7,0.5799999833106995,20.0,0.39,5,red
57,9.5,0.086,0.0,0.9976,7.1,17.0,3.46,3.9,0.5400000214576721,45.0,0.66,5,red
58,9.4,0.08,0.0,0.9972,7.1,14.0,3.47,1.9,0.550000011920929,35.0,0.71,5,red
59,9.7,0.089,0.26,0.99636,7.7,23.0,3.26,1.9,0.5899999737739563,147.0,0.54,5,red
60,11.9,0.053,0.1,0.99362,6.1,13.0,3.57,2.6,0.5,27.0,0.715,5,red
61,11.1,0.088,0.52,0.99613,9.5,12.0,3.29,2.0,0.5799999833106995,51.0,0.37,6,red
62,10.3,0.077,0.47,0.9958,7.3,5.0,3.33,2.1,0.5299999713897705,11.0,0.33,6,red
63,9.4,0.082,0.28,0.99694,7.1,31.0,3.45,2.0,0.47999998927116394,68.0,0.34,5,red
64,9.2,0.105,0.53,1.001,11.6,33.0,3.2,3.3,0.949999988079071,98.0,0.42,5,red
65,10.3,0.056,0.47,0.99695,9.6,9.0,3.22,1.4,0.8199999928474426,24.0,0.32,7,red
66,9.5,0.092,0.42,0.9959,7.7,8.0,3.23,1.9,0.5899999737739563,86.0,0.775,5,red
67,10.9,0.086,0.05,0.9962,7.2,4.0,3.41,4.65,0.38999998569488525,11.0,0.725,5,red
68,9.5,0.074,0.47,0.9979,8.6,7.0,3.08,2.4,0.46000000834465027,29.0,0.47,5,red
69,9.8,0.114,0.14,0.99732,6.5,9.0,3.66,2.4,0.6499999761581421,37.0,0.46,5,red
70,9.5,0.074,0.39,0.99698,8.9,3.0,3.12,1.6,0.5899999737739563,10.0,0.24,6,red
71,10.4,0.075,0.49,0.9969,12.2,3.0,3.13,1.4,0.6299999952316284,6.0,0.45,5,red
72,12.4,0.048,0.36,0.995,8.1,35.0,3.27,2.2,1.0099999904632568,53.0,0.29,7,red
73,9.4,0.087,0.04,0.99565,7.0,12.0,3.35,2.0,0.6000000238418579,67.0,0.975,4,red
74,9.1,0.067,0.12,0.9971,7.6,12.0,3.36,3.0,0.5699999928474426,53.0,0.52,5,red
75,10.8,0.08,0.1,0.99736,7.4,16.0,3.58,2.4,0.6899999976158142,33.0,0.635,7,red
76,9.5,0.077,0.06,0.99746,7.2,15.0,3.51,2.7,0.5400000214576721,85.0,0.62,5,red
77,10.3,0.083,0.31,0.99718,6.6,7.0,3.35,6.1,0.6800000071525574,49.0,0.64,5,red
78,9.1,0.104,0.15,0.99786,7.5,29.0,3.14,3.7,0.5799999833106995,94.0,0.41,5,red
79,10.3,0.081,0.05,0.99564,7.2,16.0,3.38,2.3,0.6000000238418579,36.0,0.57,6,red
80,10.2,0.124,0.0,0.9997,6.8,21.0,3.46,5.6,0.7200000286102295,58.0,0.69,5,red
81,9.5,0.079,0.26,0.9964,7.9,42.0,3.23,1.9,0.5400000214576721,140.0,0.52,5,red
82,10.6,0.091,0.09,0.9976,8.7,20.0,3.34,2.5,0.8600000143051147,49.0,0.52,7,red
83,9.4,0.464,0.7,0.9974,7.8,22.0,3.13,1.9,1.2799999713897705,67.0,0.43,5,red
84,10.8,0.094,0.38,0.9979,8.3,24.0,3.31,2.5,0.699999988079071,60.0,0.42,6,red
85,9.6,0.077,0.59,0.9994,10.0,3.0,3.2,2.2,0.7799999713897705,15.0,0.32,5,red
86,9.0,0.074,0.33,0.99706,7.6,27.0,3.41,1.9,0.5799999833106995,85.0,0.49,5,red
87,13.6,0.046,0.5,0.9902,5.0,29.0,3.49,4.3,0.6600000262260437,80.0,0.4,6,red
88,9.5,0.089,0.1,0.99803,8.3,17.0,3.29,2.9,0.550000011920929,40.0,0.65,5,red
89,10.4,0.075,0.03,0.99545,6.8,14.0,3.36,2.3,0.5799999833106995,31.0,0.64,6,red
90,10.5,0.083,0.21,0.99532,8.0,14.0,3.34,1.9,0.4699999988079071,41.0,1.18,5,red
91,10.1,0.086,0.21,0.99556,7.0,24.0,3.4,2.4,0.5299999713897705,69.0,0.36,6,red
92,10.0,0.089,0.05,0.99735,8.0,12.0,3.36,2.0,0.6100000143051147,32.0,0.59,5,red
93,11.4,0.041,0.0,0.99346,5.6,17.0,3.68,2.1,0.7300000190734863,78.0,0.915,5,red
94,11.0,0.081,0.25,0.99685,6.9,10.0,3.46,2.6,0.5,37.0,0.52,5,red
95,11.4,0.097,0.49,0.9962,7.0,33.0,3.39,2.5,0.7699999809265137,85.0,0.38,6,red
96,9.9,0.095,0.54,0.99735,11.6,22.0,3.02,1.5,0.7599999904632568,41.0,0.41,7,red
97,11.0,0.07,0.53,0.9972,10.7,5.0,3.15,2.6,0.6499999761581421,16.0,0.35,8,red
98,9.1,0.414,0.68,0.99652,9.1,18.0,2.9,1.7,1.3300000429153442,64.0,0.76,6,red
99,11.0,0.077,0.39,0.99555,6.2,6.0,3.51,2.5,0.6899999976158142,14.0,0.44,6,red
100,10.4,0.099,0.5,0.99783,11.2,19.0,3.1,2.0,0.5799999833106995,50.0,0.4,5,red
101,9.4,0.171,0.49,0.9975,9.0,6.0,3.27,1.9,0.6100000143051147,25.0,0.53,6,red
102,10.0,0.092,0.0,0.99635,7.5,22.0,3.38,1.6,0.5799999833106995,31.0,0.71,6,red
103,9.2,0.097,0.0,0.99675,7.2,15.0,3.37,1.9,0.5799999833106995,39.0,0.645,6,red
104,9.2,0.098,0.2,0.99892,7.5,30.0,3.2,8.1,0.5799999833106995,92.0,0.77,5,red
105,10.1,0.102,0.23,0.9996,9.6,37.0,3.3,3.4,0.6499999761581421,92.0,0.56,5,red
106,10.5,0.073,0.59,0.998,12.0,23.0,2.92,1.4,0.6800000071525574,42.0,0.5,7,red
107,11.4,0.079,0.0,0.9956,7.0,39.0,3.39,2.1,0.8399999737739563,55.0,0.54,6,red
108,11.1,0.073,0.6,0.99656,7.6,23.0,3.38,2.6,0.7900000214576721,44.0,0.35,6,red
109,9.4,0.069,0.06,0.9964,7.9,15.0,3.3,1.6,0.46000000834465027,59.0,0.6,5,red
110,9.3,0.108,0.24,0.9967,7.3,18.0,3.26,1.9,0.5899999737739563,102.0,0.73,5,red
111,10.3,0.067,0.25,0.99721,5.9,72.0,3.33,13.4,0.5400000214576721,160.0,0.29,6,red
112,12.2,0.058,0.41,0.99414,9.0,15.0,3.22,2.0,0.6000000238418579,40.0,0.4,6,red
113,10.1,0.086,0.21,0.99558,7.0,20.0,3.4,2.3,0.5400000214576721,65.0,0.36,6,red
114,9.8,0.081,0.21,0.99689,6.4,14.0,3.59,1.8,0.6600000262260437,31.0,0.64,5,red
115,12.1,0.052,0.48,0.99458,10.2,5.0,3.2,2.1,0.6899999976158142,9.0,0.34,7,red
116,9.2,0.075,0.0,0.998,7.3,3.0,3.49,2.5,0.5199999809265137,13.0,0.695,5,red
117,9.3,0.059,0.51,0.9994,12.4,6.0,3.04,2.0,0.6000000238418579,24.0,0.4,6,red
118,9.2,0.074,0.26,0.9971,8.8,4.0,3.15,1.7,0.7400000095367432,23.0,0.66,5,red
119,10.1,0.088,0.32,0.9979,9.7,22.0,3.29,2.5,0.6200000047683716,91.0,0.69,5,red
120,10.5,0.087,0.47,0.99772,9.4,6.0,3.15,2.5,0.5,20.0,0.4,5,red
121,9.5,0.113,0.52,0.9969,8.7,12.0,3.25,1.6,0.5799999833106995,37.0,0.29,5,red
122,9.4,0.097,0.12,0.99596,7.7,19.0,3.16,1.7,0.49000000953674316,27.0,0.39,5,red
123,10.0,0.094,0.19,0.99787,8.8,30.0,3.22,4.0,0.5,69.0,0.61,6,red
124,9.7,0.063,0.1,0.9958,6.8,34.0,3.41,1.7,0.6700000166893005,53.0,0.59,5,red
125,9.9,0.095,0.54,0.99735,11.6,22.0,3.02,1.5,0.7599999904632568,41.0,0.41,7,red
126,9.5,0.115,0.09,0.9971,7.8,10.0,3.18,2.2,0.6200000047683716,42.0,0.5,5,red
127,9.6,0.1,0.07,0.9961,7.4,8.0,3.3,1.8,0.5799999833106995,23.0,0.64,5,red
128,9.3,0.236,0.26,0.9968,7.6,10.0,3.11,1.6,0.800000011920929,88.0,0.49,5,red
129,12.8,0.052,0.4,0.99356,8.2,4.0,3.33,2.4,0.699999988079071,10.0,0.28,7,red
130,9.2,0.082,0.45,0.9988,11.3,6.0,2.94,2.0,0.6600000262260437,15.0,0.34,6,red
131,9.4,0.073,0.12,0.9993,6.9,40.0,3.45,10.7,0.5199999809265137,83.0,0.605,6,red
132,11.0,0.096,0.02,0.997,7.1,5.0,3.41,4.4,0.5699999928474426,13.0,0.84,4,red
133,9.5,0.094,0.52,1.0014,13.3,17.0,3.05,3.2,0.8100000023841858,53.0,0.34,6,red
134,9.3,0.078,0.14,0.99592,7.1,7.0,3.27,1.6,0.6200000047683716,18.0,0.56,5,red
135,9.6,0.091,0.24,0.998,7.6,8.0,3.47,2.4,0.6600000262260437,38.0,0.51,6,red
136,11.1,0.038,0.14,0.99514,6.4,15.0,3.44,2.2,0.6499999761581421,25.0,0.38,6,red
137,9.3,0.084,0.41,0.9984,10.8,7.0,3.08,2.2,0.6700000166893005,17.0,0.4,6,red
138,9.5,0.076,0.04,0.99745,7.2,18.0,3.53,2.5,0.550000011920929,88.0,0.6,5,red
139,9.3,0.263,0.37,0.9971,8.9,5.0,3.0,1.7,1.090000033378601,62.0,0.635,5,red
140,10.8,0.077,0.42,0.9976,10.5,6.0,3.21,1.8,1.0499999523162842,22.0,0.24,7,red
141,9.8,0.08,0.27,0.99652,8.0,11.0,3.29,2.0,0.47999998927116394,63.0,0.83,4,red
142,9.3,0.097,0.48,0.9975,8.8,39.0,3.04,2.1,1.0299999713897705,145.0,0.37,5,red
143,12.9,0.042,0.18,0.9924,5.1,16.0,3.46,2.1,0.8700000047683716,101.0,0.51,7,red
144,11.4,0.07,0.0,0.99438,6.9,32.0,3.32,1.4,0.5799999833106995,38.0,0.44,6,red
145,10.8,0.081,0.0,0.99518,6.9,21.0,3.41,2.8,0.5199999809265137,41.0,0.57,5,red
146,10.7,0.079,0.44,0.99605,8.5,6.0,3.52,1.7,0.6299999952316284,12.0,0.34,5,red
147,10.1,0.076,0.13,0.99546,7.2,12.0,3.29,2.0,0.5400000214576721,20.0,0.695,5,red
148,11.0,0.072,0.0,0.9962,7.8,27.0,3.31,1.9,0.6299999952316284,55.0,0.64,5,red
149,10.2,0.081,0.1,0.99631,6.1,13.0,3.6,2.8,0.6600000262260437,28.0,0.705,5,red
150,11.5,0.059,0.39,0.99331,7.3,7.0,3.29,1.2,0.5199999809265137,11.0,0.305,6,red
151,10.5,0.092,0.56,0.9969,8.5,35.0,3.3,1.8,0.75,103.0,0.28,7,red
152,9.5,0.09,0.1,0.99855,8.1,4.0,3.36,3.3,0.49000000953674316,13.0,0.78,5,red
153,9.4,0.072,0.24,0.996,7.9,15.0,3.27,2.0,0.5400000214576721,105.0,0.53,6,red
154,10.1,0.084,0.25,0.99464,6.1,4.0,3.36,1.8,0.4399999976158142,28.0,0.34,5,red
155,11.4,0.068,0.0,0.99533,7.6,30.0,3.48,2.1,0.6499999761581421,35.0,0.715,6,red
156,9.0,0.098,0.7,0.9972,8.1,25.0,3.08,2.2,0.5299999713897705,129.0,0.66,5,red
157,10.3,0.241,0.17,0.9961,6.9,6.0,3.4,2.4,0.5899999737739563,18.0,0.635,6,red
158,10.5,0.074,0.36,0.9978,7.3,12.0,3.33,5.9,0.8299999833106995,87.0,0.45,5,red
159,9.7,0.075,0.1,0.99581,8.4,6.0,3.09,1.7,0.4300000071525574,25.0,0.39,6,red
160,12.5,0.041,0.0,0.99258,5.0,16.0,4.01,1.2,0.5899999737739563,46.0,0.74,6,red
161,11.2,0.074,0.22,0.99438,6.8,15.0,3.4,1.8,0.8199999928474426,24.0,0.56,6,red
162,11.8,0.066,0.34,0.9947,7.7,15.0,3.37,2.7,0.7799999713897705,58.0,0.18,6,red
163,9.2,0.341,0.51,0.9969,7.9,17.0,3.04,1.8,1.0800000429153442,56.0,0.32,6,red
164,9.6,0.074,0.07,0.9973,7.2,5.0,3.32,1.4,0.8100000023841858,20.0,0.52,6,red
165,11.9,0.085,0.3,0.99346,7.0,6.0,3.33,2.0,0.46000000834465027,39.0,0.43,6,red
166,10.9,0.112,0.31,0.99699,9.2,11.0,3.24,2.3,0.5600000023841858,38.0,0.54,5,red
167,12.0,0.071,0.27,0.99388,7.4,14.0,3.35,2.1,0.6299999952316284,25.0,0.49,6,red
168,10.1,0.098,0.25,0.9964,6.9,5.0,3.41,2.4,0.6000000238418579,16.0,0.36,6,red
169,9.5,0.079,0.24,0.99764,8.2,16.0,3.34,2.0,0.6399999856948853,86.0,0.51,6,red
170,10.7,0.086,0.06,0.9965,7.5,20.0,3.38,2.6,0.5899999737739563,44.0,0.53,6,red
171,9.8,0.068,0.04,0.99712,7.1,19.0,3.44,2.1,0.6700000166893005,27.0,0.69,5,red
172,11.4,0.073,0.56,0.99534,9.9,3.0,3.15,2.0,0.7300000190734863,8.0,0.32,6,red
173,11.5,0.054,0.32,0.99572,6.0,6.0,3.3,12.9,0.5600000023841858,113.0,0.33,4,red
174,10.9,0.084,0.0,0.99619,7.9,9.0,3.33,2.0,0.6800000071525574,22.0,0.765,6,red
175,9.2,0.089,0.36,0.99615,7.0,14.0,3.34,1.6,0.5600000023841858,37.0,0.43,6,red
176,10.2,0.071,0.34,0.99769,9.1,45.0,3.44,2.0,0.8600000143051147,67.0,0.25,7,red
177,9.4,0.152,0.59,0.9986,10.6,6.0,3.04,2.2,1.0499999523162842,18.0,0.36,5,red
178,10.5,0.088,0.01,0.99568,7.7,12.0,3.32,1.8,0.5600000023841858,18.0,0.58,7,red
179,12.7,0.07,0.42,0.99426,8.3,9.0,3.38,2.3,0.7699999809265137,20.0,0.33,7,red
180,10.9,0.08,0.23,0.99538,6.7,11.0,3.36,2.1,0.699999988079071,119.0,0.64,5,red
181,9.8,0.074,0.25,0.9974,6.4,21.0,3.57,1.9,0.6200000047683716,49.0,0.37,6,red
182,11.0,0.066,0.47,0.9978,10.5,6.0,3.15,2.1,0.8999999761581421,24.0,0.24,7,red
183,10.9,0.073,0.63,0.99974,11.7,7.0,3.21,2.2,0.6899999976158142,23.0,0.45,6,red
184,9.7,0.095,0.23,0.9998,9.1,13.0,3.28,3.1,0.5899999737739563,38.0,0.64,5,red
185,10.6,0.094,0.49,0.9986,11.1,16.0,3.12,2.7,1.0199999809265137,47.0,0.31,7,red
186,10.2,0.087,0.24,0.9988,9.6,5.0,3.14,2.2,0.6000000238418579,28.0,0.68,5,red
187,10.6,0.077,0.22,0.9988,9.5,6.0,3.26,1.9,0.5600000023841858,32.0,0.78,6,red
188,9.5,0.079,0.34,0.998,9.8,32.0,3.15,2.0,0.5299999713897705,151.0,1.24,5,red
189,9.0,0.08,0.31,0.9978,7.5,15.0,3.31,1.6,0.6399999856948853,42.0,0.42,5,red
190,12.3,0.067,0.45,0.99354,8.9,7.0,3.25,1.7,0.550000011920929,12.0,0.28,7,red
191,9.7,0.089,0.26,0.99636,7.7,23.0,3.26,1.9,0.5899999737739563,147.0,0.54,5,red
192,10.9,0.114,0.46,0.99901,9.1,3.0,3.18,9.0,0.6000000238418579,9.0,0.28,6,red
193,11.0,0.074,0.46,0.99534,7.2,24.0,3.4,2.1,0.8500000238418579,44.0,0.36,7,red
194,9.5,0.075,0.29,0.99718,7.6,19.0,3.4,2.1,0.6399999856948853,66.0,0.43,5,red
195,10.9,0.06,0.53,0.99572,11.1,3.0,3.02,2.2,0.8299999833106995,10.0,0.31,7,red
196,11.4,0.102,0.24,0.99462,6.9,4.0,3.44,2.1,0.5799999833106995,7.0,0.39,4,red
197,10.2,0.075,0.12,0.99547,5.9,32.0,3.57,2.0,0.7099999785423279,44.0,0.645,5,red
198,9.8,0.087,0.24,0.9998,9.2,12.0,3.48,2.6,0.5400000214576721,93.0,0.92,5,red
199,9.9,0.089,0.0,0.9943,5.6,16.0,3.58,1.6,0.5199999809265137,59.0,0.615,5,red
200,12.5,0.07,0.08,0.99358,6.6,13.0,3.4,2.4,0.7200000286102295,26.0,0.52,7,red
201,10.5,0.091,0.12,0.9956,7.0,34.0,3.44,1.9,0.47999998927116394,124.0,0.58,5,red
202,9.4,0.07,0.24,0.996,7.2,5.0,3.33,2.2,0.47999998927116394,36.0,0.49,5,red
203,12.4,0.093,0.48,0.99408,8.3,6.0,3.26,2.1,0.6200000047683716,12.0,0.28,7,red
204,11.4,0.066,0.39,0.9947,9.8,3.0,3.19,1.4,0.550000011920929,7.0,0.34,7,red
205,11.0,0.101,0.16,0.9962,8.7,13.0,3.14,2.0,0.5699999928474426,49.0,0.625,5,red
206,10.6,0.076,0.43,0.99572,6.7,22.0,3.42,2.8,1.159999966621399,54.0,0.41,6,red
207,9.5,0.066,0.02,0.9972,7.0,8.0,3.47,2.1,0.6700000166893005,25.0,0.65,6,red
208,11.8,0.064,0.01,0.99371,7.7,31.0,3.41,2.1,0.5699999928474426,43.0,0.715,6,red
209,10.3,0.078,0.24,0.999,9.1,1.0,3.41,2.1,0.8700000047683716,28.0,0.22,6,red
210,11.3,0.061,0.32,0.99416,7.0,9.0,3.28,3.6,0.49000000953674316,29.0,0.4,7,red
211,9.6,0.076,0.37,0.9974,8.3,8.0,3.26,1.4,0.699999988079071,23.0,0.26,6,red
212,10.4,0.069,0.0,0.99396,6.6,4.0,3.33,1.6,0.3700000047683716,8.0,0.61,4,red
213,11.2,0.071,0.43,0.99428,6.2,14.0,3.45,2.0,0.8700000047683716,24.0,0.39,7,red
214,9.5,0.073,0.3,0.99685,7.2,31.0,3.42,1.8,0.5899999737739563,70.0,0.38,6,red
215,9.0,0.094,0.58,1.0004,9.9,9.0,3.29,3.5,0.5799999833106995,43.0,0.49,5,red
216,11.2,0.077,0.0,0.99385,5.9,25.0,3.5,1.9,0.5299999713897705,44.0,0.46,5,red
217,10.4,0.064,0.42,0.99758,11.1,14.0,3.25,2.2,0.5699999928474426,19.0,0.44,6,red
218,9.2,0.077,0.22,0.9967,8.1,12.0,3.29,2.1,0.5099999904632568,65.0,0.575,5,red
219,11.3,0.059,0.23,0.997,8.1,5.0,3.37,2.6,0.5600000023841858,15.0,0.78,5,red
220,9.5,0.084,0.33,0.9968,7.9,15.0,3.2,2.0,0.550000011920929,143.0,0.5,5,red
221,9.9,0.08,0.26,0.99584,7.3,17.0,3.28,2.0,0.5199999809265137,104.0,0.59,5,red
222,9.5,0.085,0.04,0.9958,6.9,19.0,3.35,1.5,0.7799999713897705,49.0,0.5,5,red
223,10.4,0.079,0.49,0.9994,12.4,27.0,3.12,2.6,0.75,69.0,0.35,6,red
224,10.9,0.079,0.01,0.99514,7.1,24.0,3.4,2.3,0.6100000143051147,37.0,0.6,6,red
225,9.8,0.069,0.21,0.99458,7.7,4.0,3.16,1.5,0.5400000214576721,9.0,0.57,6,red
226,9.5,0.082,0.17,0.996,7.8,21.0,3.39,1.6,0.47999998927116394,102.0,0.5,5,red
227,11.9,0.054,0.35,0.99458,7.9,7.0,3.32,1.7,0.800000011920929,15.0,0.2,7,red
228,10.0,0.166,0.0,0.99608,7.2,4.0,3.39,2.0,0.5199999809265137,11.0,0.835,5,red
229,9.0,0.214,0.37,1.00369,10.2,55.0,3.18,15.4,0.7699999809265137,95.0,0.54,6,red
230,9.2,0.076,0.25,0.99668,8.0,34.0,3.19,3.4,0.41999998688697815,85.0,0.81,5,red
231,9.4,0.07,0.26,0.9982,7.4,36.0,3.37,7.3,0.49000000953674316,121.0,0.6,5,red
232,10.0,0.053,0.36,0.9982,10.2,5.0,3.17,1.8,0.41999998688697815,14.0,0.645,6,red
233,10.8,0.099,0.33,0.99818,10.8,20.0,3.24,2.5,0.7099999785423279,38.0,0.45,5,red
234,10.0,0.096,0.58,1.00024,11.6,25.0,3.13,2.8,0.5299999713897705,101.0,0.41,5,red
235,10.7,0.042,0.44,0.99542,8.1,6.0,3.35,1.5,0.6100000143051147,12.0,0.33,5,red
236,11.7,0.097,0.53,0.9986,9.9,6.0,3.27,6.7,0.8199999928474426,19.0,0.4,7,red
237,11.5,0.121,0.66,0.9978,11.6,6.0,3.05,3.65,0.7400000095367432,14.0,0.53,7,red
238,11.2,0.078,0.09,0.99402,6.1,18.0,3.45,1.7,0.5400000214576721,30.0,0.48,6,red
239,11.2,0.081,0.44,0.99501,8.0,28.0,3.36,1.8,0.6600000262260437,68.0,0.28,5,red
240,9.7,0.099,0.0,0.99606,7.0,9.0,3.34,1.9,0.6000000238418579,22.0,0.685,5,red
241,12.9,0.07,0.32,0.99418,7.3,51.0,3.34,2.1,0.8199999928474426,70.0,0.52,6,red
242,10.2,0.068,0.3,0.99914,7.0,20.0,3.3,4.5,1.1699999570846558,110.0,0.6,5,red
243,10.9,0.061,0.02,0.99489,6.7,26.0,3.39,1.9,0.8199999928474426,42.0,0.67,6,red
244,10.4,0.083,0.12,0.99836,9.0,8.0,3.33,2.4,0.6499999761581421,28.0,0.8,6,red
245,10.5,0.054,0.58,0.998,11.0,7.0,3.31,2.1,0.8799999952316284,19.0,0.3,7,red
246,11.8,0.096,0.02,0.995,7.2,10.0,3.46,1.9,0.5299999713897705,31.0,0.605,6,red
